City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Airai,TL,60.33,clear sky,-8.9266,125.4092,Juvinal Martin
2,Punta Arenas,CL,60.8,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
3,Bengkulu,ID,78.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
4,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
6,Sao Jose Da Coroa Grande,BR,82.9,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
10,Port Alfred,ZA,73.0,clear sky,-33.5906,26.891,The Halyards Hotel
13,Ushuaia,AR,55.4,scattered clouds,-54.8,-68.3,Albatros Hotel
15,Chicama,PE,73.4,fog,-7.8447,-79.1469,Hospedaje Punta Cana PERU
16,Lodwar,KE,93.04,overcast clouds,3.1191,35.5973,Turkwel Lodge
18,Kahului,US,66.99,light rain,20.8947,-156.47,Maui Seaside Hotel
20,Cape Town,ZA,75.2,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
21,Bacolod,PH,77.74,few clouds,10.6667,122.95,Planta Hotel & Residences
22,Atuona,PF,79.18,overcast clouds,-9.8,-139.0333,Villa Enata
23,Butaritari,KI,80.58,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
24,Faanui,PF,83.16,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
28,Isangel,VU,77.0,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
29,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
30,Kruisfontein,ZA,73.99,clear sky,-34.0033,24.7314,Oyster Bay House Rental
31,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
32,Tabou,CI,83.34,light rain,4.423,-7.3528,hotêl doufoulougou
33,Banda Aceh,ID,80.49,overcast clouds,5.5577,95.3222,Sulthan Hotel International
35,Cockburn Town,TC,78.13,clear sky,21.4612,-71.1419,Osprey Beach Hotel
36,Kapaa,US,69.8,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
39,Pontianak,ID,78.8,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
40,Myitkyina,MM,65.86,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
41,Corinto,GR,60.01,overcast clouds,37.9407,22.9573,Ephira Hotel
44,Inirida,CO,78.15,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
45,Manaus,BR,86.0,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
46,Hilo,US,64.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
47,Grand Gaube,MU,78.01,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
51,Erzin,TR,61.0,clear sky,36.9559,36.2,Artemis Otel
52,Ngunguru,NZ,57.0,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
53,Busselton,AU,66.0,few clouds,-33.65,115.3333,Observatory Guest House
55,Asau,RO,57.2,clear sky,46.4333,26.4,Casa Mika Ciobanus
56,Kroya,ID,79.29,broken clouds,-7.6331,109.2461,RUSTANTO Fam
59,Arraial Do Cabo,BR,96.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
64,East London,ZA,73.4,clear sky,-33.0153,27.9116,Tu Casa
66,Hermanus,ZA,77.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
67,Nichinan,JP,59.88,overcast clouds,31.6,131.3667,Guest House Aki
68,Victoria,HK,69.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
70,Felipe Carrillo Puerto,MX,86.49,few clouds,19.5833,-88.05,Hotel La Ceiba
71,Cabo San Lucas,MX,69.01,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Linguere,SN,104.0,clear sky,15.3953,-15.1193,Hôtel Amadou Seck
73,Nakonde,ZM,63.9,overcast clouds,-9.3421,32.745,Masahani Inn Hotel
74,Ankazoabo,MG,73.49,light rain,-22.2833,44.5167,ENCEIN BUREAU CISCO
75,Castro,BR,66.54,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
78,Mar Del Plata,AR,66.2,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
79,Ponta Do Sol,PT,64.4,scattered clouds,32.6667,-17.1,Hotel do Campo
80,Plettenberg Bay,ZA,68.54,clear sky,-34.0527,23.3716,Thanda Vista B&B
81,Pisco,PE,77.0,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
82,Pitimbu,BR,87.8,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
84,Kati,ML,100.4,clear sky,12.7441,-8.0726,samassa la
88,The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
90,Sarangani,PH,82.51,broken clouds,5.4033,125.4636,Ballistic Islet
92,Tiznit,MA,61.05,clear sky,29.5833,-9.5,
93,Rawson,AR,72.5,few clouds,-43.3002,-65.1023,Hosteria Sampedro
94,Antofagasta,CL,77.0,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
95,Villanueva De La Serena,ES,55.99,overcast clouds,38.9766,-5.7974,Hotel Veracruz
99,Wajir,KE,102.2,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
100,Constitucion,CL,65.91,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
101,Coihaique,CL,69.8,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
102,Avarua,CK,75.2,few clouds,-21.2078,-159.775,Paradise Inn
103,Port Elizabeth,ZA,73.4,few clouds,-33.918,25.5701,39 On Nile Guest House
104,Sao Filipe,CV,72.14,scattered clouds,14.8961,-24.4956,Tortuga B&B
106,Madang,PG,76.77,very heavy rain,-5.2246,145.7966,Comfort Inn Hotel
108,Flinders,AU,64.0,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
109,Saldanha,ZA,80.6,clear sky,-33.0117,17.9442,Blue Bay Lodge
110,Gwanda,ZW,79.0,clear sky,-20.9333,29.0,Mafax Homeways
112,Hue,VN,77.0,few clouds,16.4667,107.6,Saigon Morin Hotel
113,Alofi,NU,75.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
114,Salalah,OM,84.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
117,Dharchula,IN,55.54,scattered clouds,29.85,80.5333,Mahara Hotel
118,Fitiai,GR,57.2,scattered clouds,38.7,21.1833,ΓΕΩΡΓΙΟΣ ΒΑΡΔΗΣ
121,Saint-Philippe,RE,82.4,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
122,Moyale,KE,80.49,broken clouds,3.5167,39.0584,La Tahzan Guest House
126,Sayyan,YE,64.45,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
127,Kattivakkam,IN,80.6,few clouds,13.2167,80.3167,Raj's villa
130,Gat,IL,63.0,few clouds,31.61,34.7642,OlusHome
131,Mao,ES,59.0,few clouds,39.8885,4.2658,ARTIEM Capri
