City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Mataura,-46.1927,168.8643,46.99,80,95,3.0,NZ,2021-03-05 15:36:52,overcast clouds
1,Airai,-8.9266,125.4092,60.33,100,7,0.29,TL,2021-03-05 15:36:52,clear sky
2,Punta Arenas,-53.15,-70.9167,60.8,51,75,25.32,CL,2021-03-05 15:36:53,broken clouds
3,Bengkulu,-3.8004,102.2655,78.48,87,100,4.25,ID,2021-03-05 15:36:53,overcast clouds
4,Vaini,-21.2,-175.2,75.2,100,75,2.3,TO,2021-03-05 15:36:53,broken clouds
5,Albany,42.6001,-73.9662,21.99,32,84,5.01,US,2021-03-05 15:35:00,broken clouds
6,Sao Jose Da Coroa Grande,-8.8978,-35.1478,82.9,71,100,11.99,BR,2021-03-05 15:36:54,overcast clouds
7,Saskylakh,71.9167,114.0833,-30.21,82,0,8.16,RU,2021-03-05 15:36:54,clear sky
8,Bluff,-46.6,168.3333,46.99,80,70,13.85,NZ,2021-03-05 15:36:54,broken clouds
9,Kankakee,41.15,-87.8667,37.0,69,1,3.44,US,2021-03-05 15:36:55,clear sky
10,Port Alfred,-33.5906,26.891,73.0,82,3,12.71,ZA,2021-03-05 15:36:55,clear sky
11,Sangar,63.9242,127.4739,-36.54,82,12,3.78,RU,2021-03-05 15:36:55,few clouds
12,Jamestown,42.097,-79.2353,24.01,89,75,16.93,US,2021-03-05 15:36:55,broken clouds
13,Ushuaia,-54.8,-68.3,55.4,50,40,12.66,AR,2021-03-05 15:32:46,scattered clouds
14,Tuktoyaktuk,69.4541,-133.0374,-4.0,77,75,14.97,CA,2021-03-05 15:36:56,broken clouds
15,Chicama,-7.8447,-79.1469,73.4,88,20,8.05,PE,2021-03-05 15:36:56,fog
16,Lodwar,3.1191,35.5973,93.04,28,97,12.01,KE,2021-03-05 15:36:57,overcast clouds
17,Hamilton,39.1834,-84.5333,37.0,55,1,4.18,US,2021-03-05 15:33:52,clear sky
18,Kahului,20.8947,-156.47,66.99,68,1,4.61,US,2021-03-05 15:36:58,light rain
19,Nikolskoye,59.7035,30.7861,25.0,68,75,15.66,RU,2021-03-05 15:36:58,snow
