City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Joseph,-21.3667,55.6167,77.0,78,0,1.14,RE,2021-03-03 23:37:08
1,Imeni Zhelyabova,58.9544,36.5956,31.64,99,100,10.16,RU,2021-03-03 23:38:24
2,Ushuaia,-54.8,-68.3,55.4,50,20,4.61,AR,2021-03-03 23:37:02
3,Salinopolis,-0.6136,-47.3561,78.12,87,100,10.45,BR,2021-03-03 23:38:25
4,Juneau,58.3019,-134.4197,39.2,60,90,6.91,US,2021-03-03 23:35:33
5,Rikitea,-23.1203,-134.9692,79.66,79,42,10.49,PF,2021-03-03 23:32:55
6,Butaritari,3.0707,172.7902,81.34,82,2,15.68,KI,2021-03-03 23:37:17
7,Olafsvik,64.8945,-23.7142,40.48,92,93,17.58,IS,2021-03-03 23:38:26
8,Hobart,-42.8794,147.3294,71.6,43,75,20.71,AU,2021-03-03 23:32:46
9,Belaya Gora,68.5333,146.4167,-29.38,84,100,8.61,RU,2021-03-03 23:38:26
10,Xinmin,41.9908,122.8253,39.2,52,0,11.18,CN,2021-03-03 23:38:27
11,Hithadhoo,-0.6,73.0833,82.96,62,80,9.31,MV,2021-03-03 23:36:56
12,Half Moon Bay,37.4636,-122.4286,60.8,76,90,10.36,US,2021-03-03 23:38:27
13,Sur,22.5667,59.5289,75.61,48,0,3.13,OM,2021-03-03 23:38:28
14,Bethel,41.3712,-73.414,46.4,39,1,6.91,US,2021-03-03 23:37:05
15,Qujing,25.4833,103.7833,46.0,92,75,1.01,CN,2021-03-03 23:34:09
16,Bluff,-46.6,168.3333,60.01,61,30,7.0,NZ,2021-03-03 23:37:02
17,Faanui,-16.4833,-151.75,83.7,67,100,4.65,PF,2021-03-03 23:38:28
18,Laguna,38.421,-121.4238,66.0,32,1,6.91,US,2021-03-03 23:38:29
19,Atuona,-9.8,-139.0333,79.72,70,1,8.57,PF,2021-03-03 23:37:01
20,Avarua,-21.2078,-159.775,84.2,74,20,6.91,CK,2021-03-03 23:38:30
21,Vaini,-21.2,-175.2,78.8,94,75,6.91,TO,2021-03-03 23:37:14
22,Mar Del Plata,-38.0023,-57.5575,72.0,94,20,12.66,AR,2021-03-03 23:36:55
23,Canon City,38.441,-105.2424,64.4,12,1,5.75,US,2021-03-03 23:38:31
24,Tasiilaq,65.6145,-37.6368,32.0,25,90,16.11,GL,2021-03-03 23:38:31
25,Castro,-24.7911,-50.0119,64.04,96,100,3.53,BR,2021-03-03 23:37:28
26,Busselton,-33.65,115.3333,69.01,95,96,1.99,AU,2021-03-03 23:36:56
27,Tuktoyaktuk,69.4541,-133.0374,-20.2,69,75,5.75,CA,2021-03-03 23:37:27
28,Dikson,73.5069,80.5464,-24.48,79,82,11.36,RU,2021-03-03 23:34:44
29,Chokurdakh,70.6333,147.9167,-22.13,87,100,10.4,RU,2021-03-03 23:33:56
30,Barrow,71.2906,-156.7887,-16.6,69,1,5.75,US,2021-03-03 23:33:55
31,Thompson,55.7435,-97.8558,21.2,68,75,6.91,CA,2021-03-03 23:34:04
32,Torbay,47.6666,-52.7314,25.0,86,90,13.8,CA,2021-03-03 23:35:04
33,Mataura,-46.1927,168.8643,60.01,61,22,7.0,NZ,2021-03-03 23:37:10
34,Itaituba,-4.2761,-55.9836,75.2,94,40,1.86,BR,2021-03-03 23:38:34
35,Sitka,57.0531,-135.33,37.4,93,75,6.91,US,2021-03-03 23:38:35
36,Korla,41.7597,86.1469,37.24,73,99,5.86,CN,2021-03-03 23:38:35
37,Bredasdorp,-34.5322,20.0403,64.4,94,82,3.44,ZA,2021-03-03 23:38:36
38,Pacific Grove,36.6177,-121.9166,60.01,63,1,20.71,US,2021-03-03 23:37:48
39,Yagodnoye,62.55,149.6667,-21.26,82,100,3.47,RU,2021-03-03 23:38:36
