City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,San Carlos De Bariloche,-41.1456,-71.3082,78.8,31,40,19.57,AR,2021-03-03 22:57:06
1,Zalantun,48.0,122.7167,17.24,85,100,4.7,CN,2021-03-03 23:00:57
2,Tecoanapa,16.5167,-98.75,82.6,60,24,7.52,MX,2021-03-03 23:00:58
3,Mataura,-46.1927,168.8643,57.99,64,42,5.99,NZ,2021-03-03 23:00:58
4,Snasa,64.2457,12.3778,29.55,94,96,8.32,NO,2021-03-03 23:00:59
5,Vaini,-21.2,-175.2,77.0,94,75,11.5,TO,2021-03-03 23:00:59
6,Dikson,73.5069,80.5464,-24.79,78,80,12.26,RU,2021-03-03 23:00:59
7,Temir,49.1414,57.13,28.38,98,100,16.26,KZ,2021-03-03 23:01:00
8,Naqadeh,36.9553,45.388,38.79,75,0,3.49,IR,2021-03-03 23:01:01
9,Necochea,-38.5473,-58.7368,77.0,77,98,1.99,AR,2021-03-03 23:01:01
10,Qaanaaq,77.484,-69.3632,-20.0,80,56,5.86,GL,2021-03-03 23:01:02
11,Nome,64.5011,-165.4064,-2.2,55,1,8.05,US,2021-03-03 23:00:30
12,Kapaa,22.0752,-159.319,73.4,68,75,20.71,US,2021-03-03 23:01:02
13,Waipawa,-41.4122,175.5153,69.8,60,20,16.11,NZ,2021-03-03 23:01:02
14,Arraial Do Cabo,-22.9661,-42.0278,78.8,78,0,14.97,BR,2021-03-03 23:01:03
15,Manokwari,-0.8667,134.0833,80.6,70,91,2.93,ID,2021-03-03 23:01:03
16,Butaritari,3.0707,172.7902,81.09,82,41,14.54,KI,2021-03-03 23:01:04
17,Thunder Bay,48.4001,-89.3168,30.2,47,20,8.05,CA,2021-03-03 22:59:09
18,Port Blair,11.6667,92.75,77.0,78,20,2.3,IN,2021-03-03 23:01:04
19,Ushuaia,-54.8,-68.3,55.4,47,20,9.22,AR,2021-03-03 23:01:05
20,Punta Arenas,-53.15,-70.9167,62.6,36,20,16.11,CL,2021-03-03 23:01:05
21,Longyearbyen,78.2186,15.6401,6.8,66,0,11.5,SJ,2021-03-03 23:01:05
22,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,75,4.61,CA,2021-03-03 23:01:06
23,Saint-Leu,-21.15,55.2833,75.99,62,23,2.28,RE,2021-03-03 23:01:06
24,Barrow,71.2906,-156.7887,-16.6,69,1,5.75,US,2021-03-03 23:01:06
25,Hilo,19.7297,-155.09,78.8,41,1,10.36,US,2021-03-03 23:00:54
26,Nanortalik,60.1432,-45.2371,36.79,78,100,24.81,GL,2021-03-03 23:01:07
27,East London,-33.0153,27.9116,73.38,80,83,11.52,ZA,2021-03-03 23:01:07
28,Ixtapa,20.7,-105.2,77.0,73,1,12.66,MX,2021-03-03 23:00:13
29,Bonavista,48.6499,-53.1147,19.99,73,95,9.22,CA,2021-03-03 23:01:08
30,Yuzhno-Kurilsk,44.0306,145.8556,29.03,94,68,20.07,RU,2021-03-03 23:01:08
31,Hobart,-42.8794,147.3294,69.8,46,75,17.27,AU,2021-03-03 23:00:23
32,Ambon,-3.6954,128.1814,78.8,83,20,5.75,ID,2021-03-03 22:59:13
33,Victoria,22.2855,114.1577,66.0,85,84,1.01,HK,2021-03-03 23:00:23
34,Cabo San Lucas,22.8909,-109.9124,81.0,34,75,6.91,MX,2021-03-03 22:58:05
35,Eydhafushi,5.1033,73.0708,81.75,69,0,11.88,MV,2021-03-03 23:01:09
36,Busselton,-33.65,115.3333,69.01,95,97,1.99,AU,2021-03-03 23:01:09
37,Luderitz,-26.6481,15.1594,70.5,57,0,12.88,NA,2021-03-03 23:01:09
38,Khatanga,71.9667,102.5,-38.04,77,0,6.62,RU,2021-03-03 23:01:10
39,Saskylakh,71.9167,114.0833,-41.69,80,85,1.7,RU,2021-03-03 23:01:10
40,Hermanus,-34.4187,19.2345,66.99,91,94,7.83,ZA,2021-03-03 23:01:10
41,Tasiilaq,65.6145,-37.6368,32.0,25,90,16.11,GL,2021-03-03 23:01:10
42,Rikitea,-23.1203,-134.9692,79.57,79,23,8.05,PF,2021-03-03 23:01:11
43,Hibbing,47.4272,-92.9377,37.4,48,1,4.61,US,2021-03-03 22:56:28
44,Tiksi,71.6872,128.8694,-12.28,90,100,10.56,RU,2021-03-03 23:01:11
45,Opuwo,-18.0607,13.84,66.81,45,1,2.08,NA,2021-03-03 23:01:12
46,Gornoye Loo,43.7129,39.6049,33.8,93,20,6.04,RU,2021-03-03 23:01:12
47,Castro,-24.7911,-50.0119,64.36,97,100,5.5,BR,2021-03-03 23:01:12
48,Kruisfontein,-34.0033,24.7314,66.0,86,3,1.01,ZA,2021-03-03 23:01:13
49,Yellowknife,62.456,-114.3525,0.0,65,75,11.5,CA,2021-03-03 22:56:23
50,Kodiak,57.79,-152.4072,37.4,52,1,13.8,US,2021-03-03 23:01:13
51,Bagotville,-28.9833,153.4167,68.0,94,90,2.3,AU,2021-03-03 23:01:14
52,Vakhrushev,48.9833,142.9667,28.58,96,94,12.73,RU,2021-03-03 23:01:14
53,Douentza,14.9951,-2.9517,79.83,18,35,5.37,ML,2021-03-03 23:01:14
54,Avarua,-21.2078,-159.775,84.2,74,40,8.05,CK,2021-03-03 23:01:15
55,Guerrero Negro,27.9769,-114.0611,67.32,47,26,15.26,MX,2021-03-03 22:58:10
56,Bluff,-46.6,168.3333,57.99,64,46,5.99,NZ,2021-03-03 23:01:15
57,Carnarvon,-24.8667,113.6333,68.0,100,13,6.91,AU,2021-03-03 23:01:15
58,Oranjemund,-28.55,16.4333,63.19,87,0,6.91,NA,2021-03-03 23:01:16
59,Champerico,14.3,-91.9167,89.6,55,75,9.22,GT,2021-03-03 23:01:16
60,Marawi,7.9986,124.2928,72.0,88,13,8.01,PH,2021-03-03 23:01:16
61,Albany,42.6001,-73.9662,39.2,60,90,8.05,US,2021-03-03 23:00:11
62,Poum,-20.2333,164.0167,78.46,82,100,9.06,NC,2021-03-03 23:01:17
